Chase Kammerer,28,8,9.0,0.5,1.2,.412,0.5,1.0,.464,0.0,0.2,.167,0.4,0.8,.524,0.8,1.0,1.8,0.8,0.3,0.2,0.5,1.3,1.4,0
Nick Jorgensen,11,1,11.5,0.5,1.4,.333,0.3,0.7,.375,0.2,0.6,.286,0.2,0.5,.333,0.6,1.4,2.0,0.5,0.2,0.1,0.2,1.4,1.3,0
Pat Forsythe,33,29,22.2,4.0,7.2,.559,4.0,7.0,.567,0.0,0.2,.200,1.9,3.3,.593,2.2,2.8,4.9,1.0,0.6,1.3,1.5,2.4,10.0,0
Demetrius Treadwell,1,1,28.0,4.0,7.0,.571,4.0,7.0,.571,0.0,0.0,,2.0,6.0,.333,3.0,10.0,13.0,3.0,0.0,0.0,2.0,1.0,10.0,0
Adedeji Ibitayo,34,3,19.4,3.1,6.9,.451,2.0,3.9,.508,1.1,3.0,.376,2.6,3.6,.744,1.1,2.0,3.1,1.0,0.9,0.4,1.1,2.2,9.9,0
Noah Robotham,26,25,30.6,3.3,8.5,.387,1.8,4.3,.414,1.5,4.3,.360,1.7,2.3,.750,0.5,2.2,2.7,3.3,1.3,0.0,2.3,1.5,9.9,0
Kwan Cheatham,35,30,23.6,2.9,7.8,.368,1.5,3.5,.418,1.4,4.3,.327,0.8,1.3,.644,1.1,3.8,5.0,1.5,0.4,1.1,1.7,2.3,7.9,0
Reggie McAdams,35,10,18.5,2.3,5.4,.429,0.5,0.9,.516,1.9,4.5,.411,0.5,0.7,.783,0.6,1.4,2.0,0.6,0.6,0.4,0.2,1.1,7.0,0
Antino Jackson,35,10,17.1,2.2,6.1,.355,1.1,2.6,.413,1.1,3.5,.311,0.8,1.1,.730,0.3,1.2,1.5,1.6,0.6,0.0,1.5,1.7,6.2,0
Jake Kretzer,34,12,23.8,1.7,4.2,.399,0.4,0.8,.538,1.3,3.4,.368,0.9,1.0,.914,1.2,2.8,4.0,1.1,0.8,0.1,0.6,2.3,5.6,0
Isaiah Johnson,34,9,18.4,1.9,4.0,.481,1.9,4.0,.481,0.0,0.0,,1.5,2.7,.559,1.5,2.6,4.1,0.9,0.4,1.1,1.3,1.9,5.4,0
Nyles Evans,35,34,19.3,1.7,4.5,.376,0.8,1.8,.435,0.9,2.7,.337,0.5,0.7,.696,0.5,2.1,2.5,1.6,0.9,0.0,0.9,1.8,4.7,0
B.J. Gladden,28,11,9.7,1.0,2.5,.400,0.9,2.0,.421,0.1,0.5,.308,0.7,1.3,.556,0.7,0.9,1.6,0.4,0.3,0.1,0.9,1.0,2.9,0
Aaron Jackson,29,1,9.3,1.0,2.9,.329,0.4,1.0,.367,0.6,1.9,.309,0.2,0.7,.368,0.5,1.0,1.5,0.2,0.3,0.0,0.5,1.2,2.8,0
Malcolm Walters,14,0,4.2,0.1,0.8,.182,0.1,0.3,.250,0.1,0.5,.143,0.2,0.6,.375,0.1,0.4,0.5,0.4,0.1,0.1,0.6,0.7,0.6,0
Ricardo Hill,8,0,2.3,0.1,0.5,.250,0.1,0.3,.500,0.0,0.3,.000,0.1,0.3,.500,0.1,0.3,0.4,0.0,0.3,0.0,0.0,0.0,0.4,0
Mark Noble,6,0,2.0,0.0,0.7,.000,0.0,0.5,.000,0.0,0.2,.000,0.0,0.2,.000,0.3,0.2,0.5,0.0,0.2,0.0,0.0,0.5,0.0,0
Isaiah Johnson,35,10,25.4,5.0,8.7,.574,4.9,8.5,.581,0.0,0.1,.200,3.7,6.1,.598,2.7,4.9,7.6,1.6,0.5,1.3,1.5,2.4,13.6,0
Antino Jackson,35,31,27.9,4.0,10.5,.377,2.0,5.0,.408,1.9,5.6,.349,1.9,2.3,.815,0.6,2.6,3.1,3.4,1.1,0.0,2.2,2.3,11.8,0
Reggie McAdams,35,35,26.5,3.6,8.4,.425,0.8,1.6,.491,2.8,6.8,.410,1.5,2.1,.722,1.1,3.0,4.0,0.9,0.7,0.3,0.7,2.0,11.4,0
